Código;Mídias Favoritas
1;205,2196,3377,851,1043,2209,521,1144,1708,2324,3784,2406,1647,3624,2833,1801
5;811,2324,3558,2925,952,3666,835,789,2874,1771,782,4282,3003,3642,1138,992,1233,2566,643
7;1700,4660,4355,2116,255,3530,1221,3726,1354,4107,598
8;4220,3013,4075,3147,805,1126,3820,3847,983,4970,2866,416,994,3717,289,341
14;3482,3278,3683,3133,2258,1898,2983,1271,1008,751,2127,3273,2686,2188,4664,700,2378,471
16;441,3226,2946,159,3970,4183,1951,2245,2217,3202,108,3588,1528,1525,3207,3094,745,4982,1310,3048,3650,1923,1986
18;3922,2731,1911,1043,395,1598,282,2898,2979,3693,4720,541,3624,620,3977,4525,1570,4016,3056,1257
24;4895,708,2016,4567,1132,1250,1815,3734,4230,707,2781,765,1614,73,4274,2782,4109
28;1531,4593,4650,2402,767,3312,1534,1132,1350,2945,336,682,2634,190,1798
29;3461,3825
34;4929,4902,3461,3275,3736,604,1138,3109,300,3684
36;1456,857,1858,4805,665,4458,1103,1106,259,4501,2761,494,3334,3895,3563,1821,1620
38;2617,4606,3142,4173,125,1534
40;4451,1280,1720,4,4287,1221,4871,4856,4034,3856,515,1678,2335,4202,3671,4839,2539,2768,2619,4782,1550,2752
43;2780,2223,1361,3172,3654,539,3526,4488,457,3994,1304,715,4490,4995,348,4312
46;4404,4996,4310,4149,297,3161,4222,1342,4240,3360,1842,489
49;3070,4061,2812,3267,2730,4584,4499,783,3641,3492,97,2618,349,1265,2895,4480,2247,4510,4006,3641
50;2455,4443,2710,4705,1823,637,3845,4874,1583
52;3726,3439,3482,3009,4600,992,669,1672,3870,2647,5000,145,76,4231,2072,4030,493,358,3954,1813,2575,2778,1446,1365,3154,3782,4333,3334,3930
53;1012,1365,4160,1590,2695,1645,1313,872,1254,1966,188,2740,2688,3654,3067,2044
60;3050,4517,2987,863,2258,1021,2626,689,1089,4268,1715,711,2786,4919,1943,1105,1371,4661,4152,2867,4187,4032,987,2801,4392,2288
67;4811,1189,2954,1972,4718,1994,1090,3701,4290,4808,3913,667,3413
71;2753,2917,2942,801,415,2646,4834,2243,3889,3629,1954,2470,2008,98
73;304,1362,4235,532,1098,4529,3121,3313,4306,3796,573,2560,4631,2934,2714,1936,4321,4580,3360,4700,4094,4448
76;4439,4614,3116,854,2131,595,2798,4496,2208
77;2303,2013
78;2700,1003,4171,1630,1666
91;699,1619,1591,4404,2617,695,1453,3368,2938,4868,3482,4838,4638,1601,3283,2506,1710,119,4119,2045,3416,670,185,509,904
95;2812,4973,4236,4068,82,104,3560,1611,4016,327,2883,3548,1604,3242,4205,3570,1080,236,1830,182,3788,4392,4657,559,1656,1061,1717,1825,644,3427,4107,541
97;916,1985,1803,2805,324,1895,783,3952,2570,2507,1534
98;2967,2887,1542,3831,3677,3805,3219,4718,4715,3697,3030,2938,4921,2620,4232,1346,2661,1734
99;2348,1043,2472,3274,2660,2954,962,1944,3964,4876,815,4419,1897,3132,1325,1364,2093,4046,1311,542,2503
106;4854,1280,393
109;460,4163,20,1010,1970,975,1115,4867,1487,2910,4680,340,4569,2222,4876,1995,3531
110;4730,4900,2693
114;851,3368,2353,2850,1440,3439,3314,1162,2106,124,2438,3114,2125,1583
115;4963,2221,2999,380,2668,2199,2679,2260,4733,2141,295
118;1733,2102,3849,3421,587,298,497,2114,2182,4761,906,1330,3135,3557,2629,3377,2281,1945
119;3264,3925,3359,4177,503,4723,1021,2668,3637,2297,271,2468,223,3174,4356,2922
121;3025,2850,489
