Código;Nome;Tipo;Produtores;Duração;Gênero;Temporada;Álbum;Código do Álbum;Publicação
1;Pariatur architecto quaerat ipsam velit optio iste saepe voluptas;P;51, 334, 272;14,60;BA;15;;;2028
2;Nesciunt quae asperiores illum voluptatibus;P;86;23,53;SF, AR;6;;;2035
3;Officiis laboriosam nulla ex sapiente sunt itaque;M;134;9,92;BD;;Be word memory environment;1;2004
4;Maxime mollitia ipsa;M;240, 177;2,47;EM;;Rest friend grow important professional physical;2;2045
5;Minima;M;360;5,14;FJ;;See;3;1995
6;Quasi itaque sunt voluptatum;P;25;72,74;PH;13;;;2020
7;Autem;P;289, 280;44,75;HO;18;;;2018
8;Earum quod ad magnam;M;236;2,50;CP, AH, ST;;Recognize;4;2061
9;Quaerat;M;498, 122;3,79;EP, DO;;Town offer body;5;1998
10;Illo laboriosam ab sequi;M;204, 65;1,47;JA;;Kitchen;6;2029
11;Explicabo consectetur sapiente at;P;27;99,7;BA;4;;;2004
12;Inventore necessitatibus;M;165, 229;8,75;SJ, BD;;Window out enjoy;7;2052
13;Voluptas sequi sunt non vitae;P;192, 347;13,41;PO;2;;;2024
14;Labore;P;259;54,13;LG;16;;;2003
15;Eveniet iusto magnam dignissimos quae;M;57;1,57;KK;;Attention;8;2039
16;Quaerat eveniet perspiciatis aliquid;P;144;57,58;PH;7;;;1999
17;Debitis perferendis;P;37, 202;70,2;ED;9;;;1994
18;Iste;M;486;10,7;YO, KI;;Be safe economic training loss today;9;2065
19;Deleniti ducimus perspiciatis consequuntur explicabo nemo doloremque;M;307;9,51;TH;;Better important affect seek;10;2014
20;Earum totam sunt atque;P;102;64,30;TE, LG;4;;;2076
21;Unde autem ducimus vitae quisquam inventore;P;248;100,91;FE;19;;;2052
22;Libero cupiditate;M;307;8,41;IL, GR;;Professional together;11;2041
23;Esse quae voluptates illo;P;484;101,99;VG;5;;;2011
24;Reiciendis eveniet;M;469, 370;1,2;NE, SQ, CU, FH;;Build attorney each three paper eye under happen;12;1993
25;Similique consectetur adipisci;M;451;8,84;EZ;;Bed them attention;13;2070
26;Dolorem voluptatum aut;P;365, 64;91,61;VG;15;;;2055
27;Laboriosam quaerat;M;459, 498;7,69;EA;;Turn;14;2070
28;Soluta vitae;M;134, 370;8,15;JU;;Leg decision all business;15;2056
29;Rerum impedit blanditiis cumque fugit veniam fugit;P;290, 435;27,77;HO;14;;;2023
30;Voluptates velit dolore quam;P;191;65,44;FE;10;;;2017
31;Sequi earum;M;65;5,17;EA;;Measure;16;2032
32;Aspernatur voluptatibus culpa quidem;P;147, 490;5,83;TE, HI;1;;;2006
33;Doloremque quasi quod nemo eaque architecto voluptatem;M;88;6,60;DP;;Rich high federal seem what where;17;2028
34;Ratione quidem commodi ipsum;M;75;8,68;LI;;Plan friend wrong save;18;2056
35;Facilis sit illum totam;M;120;4,45;SJ;;Surface among form so identify animal son;19;2063
36;At ratione laudantium;P;228, 368;57,50;IN;12;;;2038
37;Sint;M;373;8,36;RO, EL;;Author something money action much put;20;2006
38;Cupiditate reprehenderit inventore minima;P;56;90,72;RA;9;;;1999
39;Sequi doloribus officiis ex placeat vero;P;439;100,85;IN;9;;;2020
40;Nisi in alias;P;275;65,0;SF;8;;;2025
41;Optio delectus quod natus consequatur sapiente blanditiis quod commodi;M;269;1,68;NM, OL, DÉ;;Red his sport yourself;21;2032
42;Cumque;P;116, 183;61,19;LA;13;;;2042
43;Explicabo autem quisquam;P;80;11,89;PO;10;;;2040
44;Iste;P;262, 350;85,76;LG;19;;;2026
45;Architecto facere error quod impedit;P;312;32,42;PO, AD;6;;;2045
46;Illum dolor atque atque dolorum sint velit itaque;M;373, 441;10,91;ST, SK;;Huge others be;22;2061
47;Minima tempore dolor dicta magni architecto cum debitis;M;131, 93;7,97;IM, CJ, JU, SH;;Actually most;23;2021
48;Praesentium occaecati temporibus suscipit asperiores;P;384, 331;38,57;IN;6;;;2022
49;Mollitia cum doloremque doloremque;M;362;9,32;BR;;Maintain;24;1999
50;Ipsa;P;64;53,65;HO;5;;;2016
51;Voluptas numquam cum ad ex;P;467;91,76;LG;18;;;1996
52;Nulla delectus neque fugiat;P;100;64,10;PO;20;;;1994
53;Labore magni ipsa;P;141, 30;120,90;SF;16;;;2019
54;Quam minima aut ad ab;M;277, 104;1,92;OT, GS;;Name edge support also;25;2049
55;At vitae ex occaecati aliquam fugit;M;444, 387;4,3;VK;;Machine price this fund financial clearly;26;2061
56;Veniam quasi libero vero;M;211;10,88;AH, AV, UF;;Nothing network strategy;27;1990
57;Eligendi placeat amet;P;419;79,96;BA;4;;;2061
58;Fuga illum;P;365, 300, 35;20,62;FA;10;;;2040
59;Pariatur adipisci voluptas;M;33;7,57;VI, SJ, AJ, MJ, BI;;Beyond;28;2058
60;Nobis possimus;P;375;37,52;MU, TE;15;;;2049
61;Hic;P;476;59,74;HI, VG;11;;;2056
62;Incidunt neque quos iste eligendi cumque labore;M;204;6,59;VO, JB, HU;;Role PM school night;29;2073
63;Eaque est eligendi;M;15;4,10;HH, JM;;About;30;1997
64;Ad;M;346, 175, 107;1,61;KL, GP;;Boy;31;1990
